Source,Target,Type,Label,Weight,SOURCE PERSON,TARGET PERSON,DATE
131,15,Directed,Signatory of Marriage Contract,2,Jean-Baptiste Marchais,Francoise Ferrand,1764
131,380,Undirected,Sibling,5,Jean-Baptiste Marchais,Antoine Marchais,
132,131,Directed,Godparent,4,Francoise Besson,Jean-Baptiste Marchais,1725
133,2,Directed,Signatory of Marriage Contract,2,Marguerite Marchais,Etienne Allemand,1764
133,15,Directed,Signatory of Marriage Contract,2,Marguerite Marchais,Francoise Ferrand,1764
133,136,Directed,Signatory (marriage),3,Marguerite Marchais,Marthe Marchais,
133,244,Directed,Signatory (marriage),3,Marguerite Marchais,Magdelaine Marchais,1766
133,382,Directed,Signatory (marriage),3,Marguerite Marchais,Pechillon de la Borderie,
134,133,Directed,Godparent,4,Jean Besson,Marguerite Marchais,1727
135,133,Directed,Godparent,4,Marguerite Penot,Marguerite Marchais,1727
139,2,Directed,Signatory of Marriage Contract,2,Marie Claude,Etienne Allemand,1764
139,15,Directed,Signatory of Marriage Contract,2,Marie Claude,Francoise Ferrand,1764
139,191,Directed,Signatory (baptism),3,Marie Claude,Jeanne Allemand (ii),1768
139,192,Directed,Signatory (marriage),3,Marie Claude,Martial Allemand (ii),1767
139,316,Undirected,Sibling,5,Marie Claude,Daufinete (Pierre Claude),1743
141,2,Directed,Signatory of Marriage Contract,2,Rose Andree Marin (Rose Marin),Etienne Allemand,1764
141,15,Directed,Signatory of Marriage Contract,2,Rose Andree Marin (Rose Marin),Francoise Ferrand,1764
141,142,Undirected,Marriage,5,Rose Andree Marin (Rose Marin),Claude Reze,1764
141,154,Undirected,Sibling,5,Rose Andree Marin (Rose Marin),Rose Marin,1754
142,292,Undirected,Sibling,5,Claude Reze,Pierre Reze,
143,141,Directed,Parent,5,Rose Reze (younger sister),Rose Andree Marin (Rose Marin),1748
143,142,Undirected,Sibling,5,Rose Reze (younger sister),Claude Reze,
143,150,Undirected,Marriage,5,Rose Reze (younger sister),Francois Marin,1744
143,153,Directed,Godparent,4,Rose Reze (younger sister),Anne Marchais,1740
143,154,Directed,Parent,5,Rose Reze (younger sister),Rose Marin,1754
143,195,Undirected,Sibling,5,Rose Reze (younger sister),Rose Reze (older sister),1703
143,287,Undirected,Sibling,5,Rose Reze (younger sister),Jacques Reze,
143,292,Undirected,Sibling,5,Rose Reze (younger sister),Pierre Reze,
144,2,Directed,Signatory of Marriage Contract,2,Mazaud,Etienne Allemand,1764
144,15,Directed,Signatory of Marriage Contract,2,Mazaud,Francoise Ferrand,1764
146,2,Directed,Signatory of Marriage Contract,2,Brillet,Etienne Allemand,1764
146,15,Directed,Signatory of Marriage Contract,2,Brillet,Francoise Ferrand,1764
147,2,Directed,Signatory of Marriage Contract,2,M. Monaud (Marguerite Monneau/Monnaud),Etienne Allemand,1764
147,15,Directed,Signatory of Marriage Contract,2,M. Monaud (Marguerite Monneau/Monnaud),Francoise Ferrand,1764
147,53,Directed,Signatory (marriage),3,M. Monaud (Marguerite Monneau/Monnaud),Jean Glaumont (Fils Aine),1759
147,54,Directed,Signatory (marriage),3,M. Monaud (Marguerite Monneau/Monnaud),Catherine Lecler,1759
147,93,Directed,Godparent,4,M. Monaud (Marguerite Monneau/Monnaud),Jean-Baptiste Ferrand,1749
147,223,Directed,Signatory (marriage),3,M. Monaud (Marguerite Monneau/Monnaud),Francoise Glaumont,1759
147,224,Directed,Signatory (marriage),3,M. Monaud (Marguerite Monneau/Monnaud),Francois Lecler,1759
147,228,Undirected,Sibling,5,M. Monaud (Marguerite Monneau/Monnaud),Pierre Monnaud,
147,274,Directed,Parent,5,M. Monaud (Marguerite Monneau/Monnaud),Jean Dumergue (iii),1766
147,388,Undirected,Sibling,5,M. Monaud (Marguerite Monneau/Monnaud),Marguerite Monnaud (ii),1745
147,389,Directed,Parent,5,M. Monaud (Marguerite Monneau/Monnaud),Marthe Dumergue,
147,390,Directed,Signatory (marriage),3,M. Monaud (Marguerite Monneau/Monnaud),Louis Felix,1799
149,2,Directed,Signatory of Marriage Contract,2,Racomp,Etienne Allemand,1764
149,15,Directed,Signatory of Marriage Contract,2,Racomp,Francoise Ferrand,1764
150,2,Directed,Signatory (marriage),3,Francois Marin,Etienne Allemand,1765
150,15,Directed,Signatory (marriage),3,Francois Marin,Francoise Ferrand,1765
150,141,Directed,Parent,5,Francois Marin,Rose Andree Marin (Rose Marin),1748
150,154,Directed,Parent,5,Francois Marin,Rose Marin,1754
150,383,Undirected,Sibling,5,Francois Marin,Elisabeth Marin,
152,81,Undirected,Sibling,5,Luce Jusse,Rose Jusse,
152,142,Directed,Parent,5,Luce Jusse,Claude Reze,
152,143,Directed,Parent,5,Luce Jusse,Rose Reze (younger sister),
152,195,Directed,Parent,5,Luce Jusse,Rose Reze (older sister),1703
152,287,Directed,Parent,5,Luce Jusse,Jacques Reze,
153,234,Undirected,Sibling,5,Anne Marchais,Pierre Marchais (ii),1730
154,2,Directed,Signatory of Marriage Contract,2,Rose Marin,Etienne Allemand,1764
154,15,Directed,Signatory of Marriage Contract,2,Rose Marin,Francoise Ferrand,1764
154,142,Directed,Signatory (marriage),3,Rose Marin,Claude Reze,1764
155,2,Directed,Signatory of Marriage Contract,2,Jean Roy,Etienne Allemand,1764
155,15,Directed,Signatory of Marriage Contract,2,Jean Roy,Francoise Ferrand,1764
156,2,Directed,Signatory of Marriage Contract,2,Matthieu Thibaud,Etienne Allemand,1764
156,15,Directed,Signatory of Marriage Contract,2,Matthieu Thibaud,Francoise Ferrand,1764
156,143,Directed,Signatory (marriage),3,Matthieu Thibaud,Rose Reze (younger sister),1744
156,150,Directed,Signatory (marriage),3,Matthieu Thibaud,Francois Marin,1744
156,157,Directed,Parent,5,Matthieu Thibaud,Barthelemi Thibaud (younger),1764
156,191,Directed,Signatory (baptism),3,Matthieu Thibaud,Jeanne Allemand (ii),1766
156,195,Directed,Signatory (death),3,Matthieu Thibaud,Rose Reze (older sister),1781
161,2,Directed,Signatory of Marriage Contract,2,Antoinette Thibaud,Etienne Allemand,1764
161,15,Directed,Signatory of Marriage Contract,2,Antoinette Thibaud,Francoise Ferrand,1764
161,157,Directed,Godparent,4,Antoinette Thibaud,Barthelemi Thibaud (younger),1763
161,159,Directed,Godparent,4,Antoinette Thibaud,Anthoinette Cotty,1733
161,162,Directed,Godparent,4,Antoinette Thibaud,Antoinette Delage,1751
161,215,Undirected,Sibling,5,Antoinette Thibaud,Barthelemi Thibaud,
163,2,Directed,Signatory of Marriage Contract,2,Marie Tilhard,Etienne Allemand,1764
163,15,Directed,Signatory of Marriage Contract,2,Marie Tilhard,Francoise Ferrand,1764
163,259,Directed,Godparent,4,Marie Tilhard,Marie Chassereau,1750
164,2,Directed,Signatory of Marriage Contract,2,Mauricete Vinsac,Etienne Allemand,1764
164,15,Directed,Signatory of Marriage Contract,2,Mauricete Vinsac,Francoise Ferrand,1764
164,165,Directed,Godparent,4,Mauricete Vinsac,Francois Vinsac,1763
164,166,Undirected,Sibling,5,Mauricete Vinsac,Michel Vinsac,
172,99,Directed,Signatory (Marriage),3,Marie Yvroix,Elizabeth Yvroix,1754
172,253,Directed,Godparent,4,Marie Yvroix,Pierre Giraud,1716
172,402,Directed,Signatory (baptism),3,Marie Yvroix,Jean-Louis Merceron,1758
175,53,Directed,Signatory (marriage),3,Jeanne Glaumont,Jean Glaumont (Fils Aine),1759
175,54,Directed,Signatory (marriage),3,Jeanne Glaumont,Catherine Lecler,1759
175,99,Directed,Signatory (Marriage),3,Jeanne Glaumont,Elizabeth Yvroix,1754
175,223,Directed,Signatory (marriage),3,Jeanne Glaumont,Francoise Glaumont,1759
175,224,Directed,Signatory (marriage),3,Jeanne Glaumont,Francois Lecler,1759
178,19,Directed,Signatory (baptism),3,Magdeleine Godinaud,Marguerite Godinaud (younger),1761
178,120,Directed,Signatory (marriage),3,Magdeleine Godinaud,Marguerite Godinaud,1764
178,286,Directed,Signatory (marriage),3,Magdeleine Godinaud,Joseph Farbos,1764
179,128,Directed,Parent,5,Charles Lemaitre,Gabriel Lemaitre,
179,180,Undirected,Marriage,5,Charles Lemaitre,Marie Klotz,
179,181,Directed,Parent,5,Charles Lemaitre,Francoise Lemaitre,
180,128,Directed,Parent,5,Marie Klotz,Gabriel Lemaitre,
180,181,Directed,Parent,5,Marie Klotz,Francoise Lemaitre,
182,73,Directed,Parent,5,Nicolas Devuailly,Marie Adelaide DeVuailly - Ferrand,
182,127,Directed,Parent,5,Nicolas Devuailly,D. Lemaitre (Dorothee Devuailly),
182,183,Undirected,Marriage,5,Nicolas Devuailly,Marie Gagneron,
183,73,Directed,Parent,5,Marie Gagneron,Marie Adelaide DeVuailly - Ferrand,
183,127,Directed,Parent,5,Marie Gagneron,D. Lemaitre (Dorothee Devuailly),
194,2,Directed,Signatory of Marriage Contract,2,Francoise Giraud,Etienne Allemand,1764
194,15,Directed,Signatory of Marriage Contract,2,Francoise Giraud,Francoise Ferrand,1764
194,192,Directed,Signatory (marriage),3,Francoise Giraud,Martial Allemand (ii),1767
194,267,Undirected,Sibling,5,Francoise Giraud,Jean Giraud (ii) (Giraud Fils),
194,279,Undirected,Sibling,5,Francoise Giraud,Jeanne Giraud,1724
194,428,Undirected,Sibling,5,Francoise Giraud,Jean Giraud (iii),
195,2,Directed,Signatory of Marriage Contract,2,Rose Reze (older sister),Etienne Allemand,1764
195,15,Directed,Signatory of Marriage Contract,2,Rose Reze (older sister),Francoise Ferrand,1764
195,141,Directed,Godparent,4,Rose Reze (older sister),Rose Andree Marin (Rose Marin),1748
195,142,Undirected,Sibling,5,Rose Reze (older sister),Claude Reze,
195,287,Undirected,Sibling,5,Rose Reze (older sister),Jacques Reze,
195,291,Directed,Godparent,4,Rose Reze (older sister),Rose Reze (iii),1730
195,292,Undirected,Sibling,5,Rose Reze (older sister),Pierre Reze,
197,2,Directed,Signatory of Marriage Contract,2,Jean Faure,Etienne Allemand,1764
197,10,Directed,Parent,5,Jean Faure,Marguerite Faure,1721
197,15,Directed,Signatory of Marriage Contract,2,Jean Faure,Francoise Ferrand,1764
197,196,Directed,Godparent,4,Jean Faure,Jean Allemand (older),1727
197,198,Undirected,Marriage,5,Jean Faure,Anne Allemand,
197,199,Directed,Parent,5,Jean Faure,Jeanne Faure (iii),1736
197,202,Directed,Parent,5,Jean Faure,Antoine Faure,
197,263,Directed,Parent,5,Jean Faure,Jeanne Faure (ii),1729
197,340,Directed,Parent,5,Jean Faure,Jeanne (Janne) Faure,1729
198,10,Directed,Parent,5,Anne Allemand,Marguerite Faure,1721
198,199,Directed,Parent,5,Anne Allemand,Jeanne Faure (iii),1736
198,202,Directed,Parent,5,Anne Allemand,Antoine Faure,
198,263,Directed,Parent,5,Anne Allemand,Jeanne Faure (ii),1729
198,340,Directed,Parent,5,Anne Allemand,Jeanne (Janne) Faure,1729
199,202,Undirected,Sibling,5,Jeanne Faure (iii),Antoine Faure,
199,263,Undirected,Sibling,5,Jeanne Faure (iii),Jeanne Faure (ii),
199,340,Undirected,Sibling,5,Jeanne Faure (iii),Jeanne (Janne) Faure,1736
200,87,Directed,Parent,5,Francois Faure,Anne Faure,
200,201,Undirected,Marriage,5,Francois Faure,Jeanne Lacour,
201,87,Directed,Parent,5,Jeanne Lacour,Anne Faure,
202,6,Directed,Godparent,4,Antoine Faure,Marie Allemand (ii),1743
202,263,Undirected,Sibling,5,Antoine Faure,Jeanne Faure (ii),
202,342,Directed,Godparent,4,Antoine Faure,Antoine Allemand,1774
205,191,Directed,Godparent,4,Jeanne Allemand (i),Jeanne Allemand (ii),1766
205,199,Directed,Signatory (baptism),3,Jeanne Allemand (i),Jeanne Faure (iii),1736
205,340,Directed,Godparent,4,Jeanne Allemand (i),Jeanne (Janne) Faure,1729
208,2,Directed,Signatory (marriage),3,Philippe Briand,Etienne Allemand,1765
208,15,Directed,Signatory (marriage),3,Philippe Briand,Francoise Ferrand,1765
208,75,Directed,Signatory (baptism),3,Philippe Briand,Gabriel Ferrand (younger),1764
209,2,Directed,Signatory of Marriage Contract,2,Marie Durand,Etienne Allemand,1764
209,15,Directed,Signatory of Marriage Contract,2,Marie Durand,Francoise Ferrand,1764
209,239,Undirected,Marriage,5,Marie Durand,Jean-Baptiste Marchais de la Chapelle (younger),1752
214,2,Directed,Signatory (marriage),5,Jean Guiton,Etienne Allemand,1765
214,15,Directed,Signatory (marriage),5,Jean Guiton,Francoise Ferrand,1765
215,2,Directed,Signatory of Marriage Contract,2,Barthelemi Thibaud,Etienne Allemand,1764
215,15,Directed,Signatory of Marriage Contract,2,Barthelemi Thibaud,Francoise Ferrand,1764
215,157,Directed,Godparent,4,Barthelemi Thibaud,Barthelemi Thibaud (younger),1763
223,53,Undirected,Sibling,5,Francoise Glaumont,Jean Glaumont (Fils Aine),
223,56,Undirected,Sibling,5,Francoise Glaumont,Philippe Glaumont,
223,107,Undirected,Sibling,5,Francoise Glaumont,Antoine Glaumont,1742
223,224,Undirected,Marriage,5,Francoise Glaumont,Francois Lecler,1759
223,260,Directed,Parent,5,Francoise Glaumont,Jeanne Lecler (younger),1767
224,54,Undirected,Sibling,5,Francois Lecler,Catherine Lecler,
224,260,Directed,Parent,5,Francois Lecler,Jeanne Lecler (younger),1767
225,54,Directed,Parent,5,Francois Lecler (father),Catherine Lecler,
225,224,Directed,Parent,5,Francois Lecler (father),Francois Lecler,
225,226,Undirected,Marriage,5,Francois Lecler (father),Marie Anne Maleron,
226,54,Directed,Parent,5,Marie Anne Maleron,Catherine Lecler,
226,224,Directed,Parent,5,Marie Anne Maleron,Francois Lecler,
228,388,Undirected,Sibling,5,Pierre Monnaud,Marguerite Monnaud (ii),1745
231,96,Directed,Parent,5,Catherine Leprince,Madeleine-Anne Gralhat Fonchaudiere,
231,123,Undirected,Marriage,5,Catherine Leprince,Jacques Gralhat,
232,95,Directed,Parent,5,Jean Chaignaud de la Graviere,Jean-Baptiste Chaigneau Fonchaudiere,
232,233,Undirected,Marriage,5,Jean Chaignaud de la Graviere,Dame Marie de Nesmond,
233,95,Directed,Parent,5,Dame Marie de Nesmond,Jean-Baptiste Chaigneau Fonchaudiere,
235,1,Directed,Parent,5,Francois Allemand,Allemand Pere (Marc Allemand),1698
235,236,Undirected,Marriage,5,Francois Allemand,Catherine Legrand ,
236,1,Directed,Parent,5,Catherine Legrand ,Allemand Pere (Marc Allemand),1698
237,2,Directed,Signatory of Marriage Contract,2,Marie Anne Josephe Genevieve de Chaumont-Gautier,Etienne Allemand,1764
237,15,Directed,Signatory of Marriage Contract,2,Marie Anne Josephe Genevieve de Chaumont-Gautier,Francoise Ferrand,1764
237,238,Undirected,Marriage,5,Marie Anne Josephe Genevieve de Chaumont-Gautier,Jean Gautier,1747
245,147,Directed,Parent,5,Jean Monnaud,M. Monaud (Marguerite Monneau/Monnaud),1732
245,228,Directed,Parent,5,Jean Monnaud,Pierre Monnaud,1733
245,246,Undirected,Marriage,5,Jean Monnaud,Marguerite Viand,
245,388,Directed,Parent,5,Jean Monnaud,Marguerite Monnaud (ii),1745
246,147,Directed,Parent,5,Marguerite Viand,M. Monaud (Marguerite Monneau/Monnaud),
246,228,Directed,Parent,5,Marguerite Viand,Pierre Monnaud,1733
246,388,Directed,Parent,5,Marguerite Viand,Marguerite Monnaud (ii),1745
249,93,Undirected,Marriage,5,Elizabeth Boutoute,Jean-Baptiste Ferrand,
250,17,Directed,Parent,5,Francois Bonnard,Marie Bonnard,1741
250,404,Directed,Parent,5,Francois Bonnard,Marie Bonnard (ii),1729
250,406,Directed,Parent,5,Francois Bonnard,Jean Bonnard,
252,3,Directed,Parent,5,Suzanne Dufort,Marie Giraud,
252,253,Directed,Parent,5,Suzanne Dufort,Pierre Giraud,1716
253,2,Directed,Signatory of Marriage Contract,2,Pierre Giraud,Etienne Allemand,1764
253,15,Directed,Signatory of Marriage Contract,2,Pierre Giraud,Francoise Ferrand,1764
253,76,Directed,Godparent,4,Pierre Giraud,Pierre Allemand,1768
254,2,Directed,Signatory of Marriage Contract,2,Michel Albert,Etienne Allemand,1764
254,15,Directed,Signatory of Marriage Contract,2,Michel Albert,Francoise Ferrand,1764
254,163,Undirected,Marriage,5,Michel Albert,Marie Tilhard,1751
254,259,Directed,Godparent,4,Michel Albert,Marie Chassereau,1750
255,2,Directed,Signatory of Marriage Contract,2,Michel Albert (father),Etienne Allemand,1764
255,15,Directed,Signatory of Marriage Contract,2,Michel Albert (father),Francoise Ferrand,1764
255,78,Directed,Signatory (marriage),3,Michel Albert (father),Francois Dumergue,1733
255,147,Directed,Signatory (marriage),3,Michel Albert (father),M. Monaud (Marguerite Monneau/Monnaud),1733
255,254,Directed,Parent,5,Michel Albert (father),Michel Albert,
255,256,Undirected,Marriage,5,Michel Albert (father),Francoise Belle,
255,259,Directed,Signatory (baptism),3,Michel Albert (father),Marie Chassereau,1750
256,254,Directed,Parent,5,Francoise Belle,Michel Albert,
257,163,Directed,Parent,5,Pierre Tilhard,Marie Tilhard,
257,258,Undirected,Marriage,5,Pierre Tilhard,Jeanne Romand,
258,163,Directed,Parent,5,Jeanne Romand,Marie Tilhard,
263,340,Undirected,Sibling,5,Jeanne Faure (ii),Jeanne (Janne) Faure,1729
264,18,Directed,Parent,5,Marc Godinaud,Jean Godinaud,1731
264,120,Directed,Parent,5,Marc Godinaud,Marguerite Godinaud,1741
264,121,Directed,Parent,5,Marc Godinaud,Pierre Godinaud,1727
265,18,Directed,Parent,5,Marie Robert,Jean Godinaud,1731
265,120,Directed,Parent,5,Marie Robert,Marguerite Godinaud,1741
265,121,Directed,Parent,5,Marie Robert,Pierre Godinaud,1727
265,264,Undirected,Marriage,5,Marie Robert,Marc Godinaud,
266,18,Directed,Godparent,4,Marie Maturine Robert,Jean Godinaud,1731
267,2,Directed,Signatory of Marriage Contract,2,Jean Giraud (ii) (Giraud Fils),Etienne Allemand,1764
267,15,Directed,Signatory of Marriage Contract,2,Jean Giraud (ii) (Giraud Fils),Francoise Ferrand,1764
267,279,Undirected,Sibling,5,Jean Giraud (ii) (Giraud Fils),Jeanne Giraud,1737
267,428,Undirected,Sibling,5,Jean Giraud (ii) (Giraud Fils),Jean Giraud (iii),
268,1,Directed,Godparent,4,Marc Bourdage,Allemand Pere (Marc Allemand),1698
274,389,Undirected,Sibling,5,Jean Dumergue (iii),Marthe Dumergue,
275,85,Undirected,Marriage,5,Marie Guimard,Louis Dupard,
275,276,Directed,Parent,5,Marie Guimard,Marc Dupard,1757
275,330,Directed,Parent,5,Marie Guimard,Marguerite Dupard,1756
276,330,Undirected,Sibling,5,Marc Dupard,Marguerite Dupard,1757
278,74,Directed,Godparent,4,Gabriel Boisdon,Gabriel Ferrand,1738
279,428,Undirected,Sibling,5,Jeanne Giraud,Jean Giraud (iii),
280,102,Directed,Parent,5,Jean Glaumont (father),Magdelaine Glaumont (ii),1708
280,106,Directed,Parent,5,Jean Glaumont (father),Jean Glaumont,
280,175,Directed,Parent,5,Jean Glaumont (father),Jeanne Glaumont,
280,281,Undirected,Marriage,5,Jean Glaumont (father),Madelaine Allemand,
281,102,Directed,Parent,5,Madelaine Allemand,Magdelaine Glaumont (ii),1708
281,106,Directed,Parent,5,Madelaine Allemand,Jean Glaumont,
281,175,Directed,Parent,5,Madelaine Allemand,Jeanne Glaumont,
281,355,Directed,Godparent,4,Madelaine Allemand,Magdelaine Glaumont,1734
281,401,Directed,Signatory (burial),3,Madelaine Allemand,Jeanne Yvroix,1738
287,142,Directed,Parent,5,Jacques Reze,Claude Reze,1725
287,291,Directed,Parent,5,Jacques Reze,Rose Reze (iii),1730
287,292,Undirected,Sibling,5,Jacques Reze,Pierre Reze,
288,2,Directed,Signatory of Marriage Contract,2,Jean Joubert,Etienne Allemand,1764
288,10,Directed,Signatory (baptism),3,Jean Joubert,Marguerite Faure,1721
288,15,Directed,Signatory of Marriage Contract,2,Jean Joubert,Francoise Ferrand,1764
288,333,Directed,Parent,5,Jean Joubert,Marc Joubert,1757
288,373,Undirected,Sibling,5,Jean Joubert,Francois Joubert,
288,375,Directed,Parent,5,Jean Joubert,Jean Joubert (iii),1754
295,51,Directed,Parent,5,Jean Barathe,Marguerite Barathe,1699
295,296,Undirected,Marriage,5,Jean Barathe,Francoise Vacher,
296,51,Directed,Parent,5,Francoise Vacher,Marguerite Barathe,1699
297,51,Directed,Godparent,4,Jean Boilevin,Marguerite Barathe,1699
299,51,Directed,Godparent,4,Marguerite Lemoing,Marguerite Barathe,1699
302,12,Directed,Parent,5,Barthelemy Bourdage,Elizabeth Bourdage,1705
302,303,Undirected,Marriage,5,Barthelemy Bourdage,Marguerite Salat,
303,12,Directed,Parent,5,Marguerite Salat,Elizabeth Bourdage,1705
304,12,Directed,Godparent,4,Francois Couvrefaud,Elizabeth Bourdage,1705
305,12,Directed,Godparent,4,Elisabeth Lespine,Elizabeth Bourdage,1705
306,52,Directed,Parent,5,Francois Chabot,Catherine Chabot,1724
306,57,Directed,Parent,5,Francois Chabot,Jeanne Chabot,1725
306,307,Undirected,Marriage,5,Francois Chabot,Rose Lecler,
307,57,Directed,Parent,5,Rose Lecler,Jeanne Chabot,1725
312,139,Directed,Godparent,4,Marie Faure,Marie Claude,1743
313,139,Undirected,Half Sibling,4,Marie Claude,Marie Claude,1750
313,316,Undirected,Half Sibling,4,Marie Claude,Daufinete (Pierre Claude),1750
316,2,Directed,Signatory of Marriage Contract,2,Daufinete (Pierre Claude),Etienne Allemand,1764
316,15,Directed,Signatory of Marriage Contract,2,Daufinete (Pierre Claude),Francoise Ferrand,1764
316,73,Directed,Signatory (marriage),3,Daufinete (Pierre Claude),Marie Adelaide DeVuailly - Ferrand,1763
316,74,Directed,Signatory (marriage),3,Daufinete (Pierre Claude),Gabriel Ferrand,1763
321,10,Directed,Signatory (baptism),3,Jean Dumergue (ii),Marguerite Faure,1721
321,77,Directed,Parent,5,Jean Dumergue (ii),Jean Dumergue,1725
321,78,Directed,Parent,5,Jean Dumergue (ii),Francois Dumergue,1733
321,103,Undirected,Marriage,5,Jean Dumergue (ii),Elizabeth Glaumont (ii),
322,244,Undirected,Sibling,5,Pierre Marchais (iii),Magdelaine Marchais,1742
333,375,Undirected,Sibling,5,Marc Joubert,Jean Joubert (iii),1757
336,288,Directed,Parent,5,Jean Joubert (ii),Jean Joubert,
336,337,Undirected,Marriage,5,Jean Joubert (ii),Marie Touret,
336,373,Directed,Parent,5,Jean Joubert (ii),Francois Joubert,
337,288,Directed,Parent,5,Marie Touret,Jean Joubert,
337,373,Directed,Parent,5,Marie Touret,Francois Joubert,
340,2,Directed,Signatory of Marriage Contract,2,Jeanne (Janne) Faure,Etienne Allemand,1764
340,10,Undirected,Sibling,5,Jeanne (Janne) Faure,Marguerite Faure,1729
340,15,Directed,Signatory of Marriage Contract,2,Jeanne (Janne) Faure,Francoise Ferrand,1764
341,10,Directed,Godparent,4,Marguerite Roger,Marguerite Faure,1721
349,194,Directed,Godparent,4,Pierre Ribere,Francoise Giraud,1724
350,194,Directed,Godparent,4,Marie Dumergue,Francoise Giraud,1724
355,2,Directed,Signatory of Marriage Contract,2,Magdelaine Glaumont,Etienne Allemand,1764
355,15,Directed,Signatory of Marriage Contract,2,Magdelaine Glaumont,Francoise Ferrand,1764
355,53,Undirected,Sibling,5,Magdelaine Glaumont,Jean Glaumont (Fils Aine),
355,56,Undirected,Sibling,5,Magdelaine Glaumont,Philippe Glaumont,
355,107,Undirected,Sibling,5,Magdelaine Glaumont,Antoine Glaumont,
355,223,Undirected,Sibling,5,Magdelaine Glaumont,Francoise Glaumont,
358,355,Directed,Godparent,4,Jean Iandron,Magdelaine Glaumont,1734
365,367,Directed,Parent,5,Magdelaine Godinaud,Jeanne Ferrand,1778
369,2,Directed,Signatory of Marriage Contract,2,Guimard (Guillaume?),Etienne Allemand,1764
369,15,Directed,Signatory of Marriage Contract,2,Guimard (Guillaume?),Francoise Ferrand,1764
380,133,Undirected,Sibling,5,Antoine Marchais,Marguerite Marchais,
382,136,Undirected,Marriage,5,Pechillon de la Borderie,Marthe Marchais,1762
386,141,Directed,Godparent,4,Jean Tigrand,Rose Andree Marin (Rose Marin),1748
387,141,Undirected,Marriage,5,Pierre Corliet Coursac,Rose Andree Marin (Rose Marin),1793
389,390,Undirected,Marriage,5,Marthe Dumergue,Louis Felix,1799
393,156,Undirected,Marriage,5,Francoise Chabaribeire,Matthieu Thibaud,
393,157,Directed,Parent,5,Francoise Chabaribeire,Barthelemi Thibaud (younger),1763
399,164,Directed,Parent,5,Francois Vinsac (ii),Mauricete Vinsac,1732
399,400,Undirected,Marriage,5,Francois Vinsac (ii),Mauricette Pelard,1730
400,164,Directed,Parent,5,Mauricette Pelard,Mauricete Vinsac,1732
404,17,Undirected,Half Sibling,4,Marie Bonnard (ii),Marie Bonnard,1741
404,406,Directed,Signatory (marriage),3,Marie Bonnard (ii),Jean Bonnard,1767
405,17,Directed,Parent,5,Marguerite Charpentier,Marie Bonnard,1741
405,250,Undirected,Marriage,5,Marguerite Charpentier,Francois Bonnard,
405,406,Directed,Parent,5,Marguerite Charpentier,Jean Bonnard,
406,17,Undirected,Sibling,5,Jean Bonnard,Marie Bonnard,
422,84,Directed,Godparent to Child of,4,Marc Rene Lefort Latour,Marguerite Durousot,
422,288,Directed,Godparent to Child of,4,Marc Rene Lefort Latour,Jean Joubert,
425,6,Directed,Godparent,4,Francois Guillot,Marie Allemand (ii),1730
426,6,Directed,Godparent,4,Emerie Fouqueux,Marie Allemand (ii),1730
347,267,Directed,Godparent,4,Jean Challais,Jean Giraud (ii) (Giraud Fils),1737
348,267,Directed,Godparent,4,Marianne Raymond,Jean Giraud (ii) (Giraud Fils),1737
429,2,Directed,Signatory of Marriage Contract,2,Yrvoix (Philippe),Etienne Allemand,1764
429,15,Directed,Signatory of Marriage Contract,2,Yrvoix (Philippe),Francoise Ferrand,1764
429,430,Undirected,Marriage,5,Yrvoix (Philippe),Francois Ferrand,
429,431,Directed,Parent,5,Yrvoix (Philippe),Mathurin Ferrand,1737
429,434,Directed,Parent,5,Yrvoix (Philippe),Jean Ferrand,1726
429,438,Directed,Parent,5,Yrvoix (Philippe),Marie Allemand (iii),1739
430,431,Directed,Parent,5,Francois Ferrand,Mathurin Ferrand,1737
430,434,Directed,Parent,5,Francois Ferrand,Jean Ferrand,1726
430,438,Directed,Parent,5,Francois Ferrand,Marie Allemand (iii),1739
431,434,Undirected,Sibling,5,Mathurin Ferrand,Jean Ferrand,
431,438,Undirected,Sibling,5,Mathurin Ferrand,Marie Allemand (iii),1739
431,439,Undirected,Sibling,5,Mathurin Ferrand,Jeanne Allemand (iv),
434,438,Directed,Sibling; Godparent,5,Jean Ferrand,Marie Allemand (iii),1739
439,434,Undirected,Sibling,5,Jeanne Allemand (iv),Jean Ferrand,
439,438,Directed,Sibling; Godparent,5,Jeanne Allemand (iv),Marie Allemand (iii),1739
91,430,Directed,Parent,5,Louis Ferrand,Francois Ferrand,1742
92,430,Directed,Parent,5,Marie Aymard,Francois Ferrand,1742
430,15,Undirected,Sibling,5,Francois Ferrand,Francoise Ferrand,1742
430,74,Undirected,Sibling,5,Francois Ferrand,Gabriel Ferrand,1742
430,93,Undirected,Sibling,5,Francois Ferrand,Jean-Baptiste Ferrand,1742
91,431,Directed,Parent,5,Louis Ferrand,Mathurin Ferrand,1743
92,431,Directed,Parent,5,Marie Aymard,Mathurin Ferrand,1743
431,15,Undirected,Sibling,5,Mathurin Ferrand,Francoise Ferrand,1743
431,74,Undirected,Sibling,5,Mathurin Ferrand,Gabriel Ferrand,1743
431,93,Undirected,Sibling,5,Mathurin Ferrand,Jean-Baptiste Ferrand,1743
431,430,Undirected,Sibling,5,Mathurin Ferrand,Francois Ferrand,1743
